,Title,Published_date,Views,Likes,Comments,Month
78,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14995,306,39,Oct
79,ML Ops: What is it REALLY?,2021-10-22,7376,281,66,Oct
80,Business Skills for Data Science: What are they REALLY?,2021-10-18,7048,303,50,Oct
81,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2227,120,5,Oct
82,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6125,283,64,Oct
83,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13275,537,108,Aug
84,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10573,436,32,Aug
85,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42736,1629,32,Aug
86,How I Learned to Learn.,2021-07-31,51246,2359,209,Jul
87,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11462,616,49,Jul
88,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2483,92,30,Jul
89,Why are APIs Important for Data Science?,2021-07-09,11227,480,95,Jul
90,Is Your Phone REALLY Listening to You?,2021-07-03,5335,278,116,Jul
91,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,18665,666,123,Jun
92,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4154,225,39,Jun
93,#66DaysOfData - What is it? #shorts,2021-06-11,9731,400,54,Jun
94,A Quick Data Science Project Tip! #SHORTS,2021-06-03,17149,1029,89,Jun
95,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7602,388,195,May
96,How Data Science Projects Pay Off,2021-05-22,11224,615,146,May
97,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10904,492,134,May
98,What is a lambda function (python)? #shorts,2021-05-13,16405,974,49,May
99,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,34932,1770,63,May
100,What is Pandas? (Data & Data Science) #shorts,2021-04-30,26218,1332,85,Apr
101,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77901,3424,285,Apr
102,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23790,703,85,Apr
103,Why You Probably Won't Become a Data Scientist,2021-04-09,139537,4029,466,Apr
104,How to Go From Data Analyst to Data Scientist,2021-04-02,57119,1603,179,Apr
105,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4087,140,92,Mar
106,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,19110,366,108,Mar
107,My Regrets as a Data Science Student,2021-03-12,24280,881,112,Mar
108,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3872,192,83,Mar
109,What is the Future of my Comment Leaderboard Project?,2021-02-26,5644,201,81,Feb
110,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,7317,180,51,Feb
111,Why I Quit Data Science,2021-02-12,106077,2353,346,Feb
112,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10912,565,116,Jan
113,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7086,294,124,Jan
114,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10857,315,52,Jan
115,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,25672,722,134,Jan
116,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,42648,1191,148,Jan
117,What is the #66DaysOfData?,2020-12-26,71695,2328,196,Dec
118,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,132040,5929,486,Dec
119,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11340,402,131,Dec
120,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,24063,721,324,Dec
121,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,29132,877,160,Nov
122,6 Lessons from #66DaysOfData,2020-11-13,6809,337,93,Nov
123,100K Channel Update + AMA Stream!,2020-11-12,2327,127,21,Nov
124,Find a Data Science Project With These 3 Techniques,2020-11-06,17373,733,104,Nov
125,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,28821,701,153,Oct
126,git for Data Science Made Simple... (Hopefully),2020-10-23,23333,944,88,Oct
127,The PODCAST you might have asked for?,2020-10-19,2139,92,44,Oct
128,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6894,450,113,Oct
129,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,15031,431,45,Oct
130,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,7434,154,60,Oct
131,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,13069,596,83,Oct
132,Sh*t Data Scientists Say (Parody),2020-10-05,10054,581,144,Oct
133,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8686,364,93,Oct
134,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7131,284,59,Sep
135,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,12289,290,69,Sep
136,5 Essential Data Science Projects for Your Portfolio,2020-09-26,75767,3154,207,Sep
137,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5295,200,66,Sep
138,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,15252,546,60,Sep
139,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7709,253,34,Sep
140,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5237,197,56,Sep
141,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4620,158,35,Sep
142,The 5 Pillars of Success I Live By,2020-09-11,10244,867,152,Sep
143,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1923,77,25,Sep
144,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4098,165,43,Sep
145,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,12250,746,143,Sep
146,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18210,574,87,Sep
147,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18607,794,93,Aug
148,Why I'm Starting Data Science Over Again.,2020-08-29,50964,2578,442,Aug
149,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15664,637,78,Aug
150,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,14675,509,53,Aug
151,Don't Buy My Course..,2020-08-21,7374,356,146,Aug
152,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29239,1103,166,Aug
153,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3335,127,38,Aug
154,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6507,536,106,Aug
155,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5223,188,37,Aug
156,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,14834,458,53,Aug
157,The Plagiarism Problem in Data Science,2020-08-07,13194,628,145,Aug
158,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14856,607,89,Aug
